,samples,positive_rate
SPY,51852,0.0050335570469798654
QQQ,54698,0.008775457969212768
DIA,30610,0.009506697157791571
IWM,48349,0.018511241183892118
VTI,26241,0.012880606684196487
VOO,35008,0.007941042047531993
AAPL,46508,0.04302485593876322
MSFT,36860,0.03450895279435703
NVDA,60003,0.05594720263986801
AMD,53626,0.11900943572147839
GOOGL,43494,0.05750218420931623
TSLA,58147,0.09443307479319656
META,36022,0.06457165065793126
NFLX,26699,0.08180081650998165
ORCL,39169,0.1386810998493707
INTC,56171,0.12748571326841251
CSCO,29835,0.05533769063180828
IBM,27626,0.0780786215883588
NOW,22793,0.11279778879480543
SNOW,29200,0.1513013698630137
PLTR,54538,0.10818145146503355
ZM,25526,0.08587322729765728
AMZN,47897,0.04273754097333862
CRM,30067,0.0990122060731034
ADBE,27667,0.09173383453211408
SHOP,29301,0.16521620422511177
PYPL,35476,0.09550118389897395
ROKU,26974,0.1773930451545933
SPOT,23510,0.1607826456826882
JPM,27570,0.055749002538991656
BAC,30324,0.05358791716132436
GS,23982,0.0811858894170628
V,25986,0.04821827137689525
MA,24284,0.04418547191566464
AXP,24972,0.06395162582091943
WFC,27305,0.06943783189891961
C,27921,0.075749435908456
BLK,14546,0.11583940602227416
WMT,31052,0.0472433337627206
COST,25031,0.040549718349246935
HD,25704,0.048669467787114847
TGT,30192,0.08548622151563329
LOW,24894,0.058729011006668275
MCD,25414,0.034429841819469585
SBUX,29458,0.08520605607984248
NKE,31691,0.08806916790255909
DIS,27998,0.05889706407600543
JNJ,26150,0.04413001912045889
UNH,41363,0.10893793970456689
PFE,41512,0.05506841395259202
ABBV,25545,0.0708162066940693
MRK,28047,0.0818982422362463
TMO,23908,0.10126317550610674
DHR,25013,0.09055291248550754
ABT,25138,0.06026732436948047
LLY,28632,0.11214724783459067
XOM,28119,0.04733454248017355
CVX,26976,0.048079774614472125
COP,25790,0.08084528887165568
EOG,24874,0.07176167886146177
SLB,27263,0.11821883138319333
FCX,31466,0.1373863853047734
NEM,31032,0.1136890951276102
LIN,22110,0.04034373586612393
BA,32178,0.08403256883585059
CAT,25300,0.08071146245059288
GE,25852,0.08161844344731549
MMM,24653,0.06993063724496004
HON,25769,0.03931079979820715
UPS,31508,0.0691570394820363
FDX,24448,0.09563154450261781
RTX,25776,0.05326660459342024
VZ,31390,0.034278432621854094
T,30765,0.05132455712660491
TMUS,25637,0.05823614307446269
NEE,26781,0.08520966356745453
SO,24955,0.02969344820677219
DUK,24920,0.032664526484751204
AEP,24981,0.04127136623834114
EXC,25117,0.03949516263885018
AMT,24512,0.0641726501305483
PLD,24728,0.0693141378194759
CCI,24736,0.06747250970245795
EQIX,13227,0.12504725183337115
PSA,18779,0.07071729059055328
EXR,21281,0.0667731779521639
ASML,25894,0.09017533019232254
TSM,39262,0.08410167592073761
BABA,45986,0.07474013830296176
PDD,31346,0.10712690614432463
NIO,50189,0.20723664548008527
XPEV,35689,0.1281627392193673
LI,30769,0.10669830023725178
